psychologist_id,specialty,patients_per_day,satisfaction_score
03aabfac-e819-462b-951b-769c51f694cc,Developmental,3,4.7
f6410b77-c845-4d6b-b751-7a85227f0556,Health,4,4.1
9bd70f62-2125-4b1f-a32d-fd91afb6b357,Forensic,7,4.7
6359812c-f512-4698-b22c-6cf7ce7fd550,Developmental,8,5.0
63e617a2-c230-4890-9ef7-36ef15b59b61,Cognitive,3,5.0
b81ae4a3-c4cb-4c68-a319-594f630ee896,Health,8,3.8
02044acf-6f75-493a-a626-02a28a46d480,Clinical,5,4.5
98c58871-4ef6-45e0-b08c-4fb3c49b3bd6,Occupational,3,4.1
ced36e66-4523-4269-a0a2-2ec985a7e996,Developmental,4,4.7
8c6364e8-e04a-41d2-a667-c06bf0f463a9,Forensic,7,4.9
ff77cf14-a19e-4e81-aae0-97c79830e432,Forensic,7,4.4
7bad8bc6-69be-4492-acd4-d717c93de1dd,Educational,3,4.4
65556116-1ffb-4de6-8bc4-dfa9a684ffed,Forensic,3,4.1
d6d4f7ef-284b-43dd-a0e3-fe8d5e9ca5c3,Forensic,8,4.6
d24f2357-7db6-4b75-befa-9c6d7f651d8a,Clinical,7,4.3
287bac09-0b78-4ac8-8b9c-36f1af0e8d04,Cognitive,6,3.6
d26567fd-5d2a-4d67-a597-b225101a92f7,Developmental,5,4.4
21d3b8f2-f3ac-45cb-bf4b-24b9ef4c37d0,Educational,3,4.5
f0146b37-b780-4b06-9634-647134cee146,Cognitive,8,4.1
46052bf0-25e0-460e-9281-8ec025c3b79e,Educational,7,4.9
57178768-33fc-4d7d-b605-aa9c2de75a92,Clinical,6,4.6
be264712-d3ea-4226-9771-33e826c04950,Forensic,6,4.3
002d111d-08aa-49da-94c5-be4f63e947bf,Forensic,3,3.8
d6403804-bec0-407e-922e-f65685602eef,Clinical,4,4.5
4f140eba-9e8a-4597-9672-923b85c1480e,Educational,6,4.4
10013c45-e0e9-4830-a3f6-6d7399a6ee70,Clinical,5,3.8
5ca9c5e3-1ba5-4b9b-ae04-47a773dea7c2,Health,7,4.6
56e81bc3-0e7b-40d3-9966-cd4ef4aea648,Developmental,3,4.6
a03d6f69-021c-4acb-a673-6d23c5d0a0ac,Forensic,8,4.7
e5a7f50b-bb6e-4ec1-a87f-50875c27af1c,Developmental,4,4.6
c47da2f0-32ff-451f-9498-e46f3a480b9d,Developmental,4,5.0
1e788e01-b80f-4ca9-b03c-264a1670aa16,Forensic,6,4.5
eb2592b9-5f18-43b1-85ae-940083d95e36,Clinical,4,4.4
9cd4a286-5452-4711-8443-b76669e8d3a4,Educational,8,4.6
3add0e25-9fa9-4fb9-944e-6215f5ef1ebd,Educational,4,3.8
3e00d86f-263f-4921-a9f4-25c249c4869a,Forensic,3,4.8
b7c39b3f-b9c1-435c-a07a-e78426409626,Developmental,3,3.9
9ac29486-01b2-4bec-9fa2-e8fcb60b299a,Occupational,4,3.7
ebde0a19-259a-4037-a218-d79115cf7f1a,Occupational,8,4.1
ea9a5102-4557-41ab-9422-8d75e0d0734f,Health,8,4.9
39e99b0b-be81-41b7-a39c-71a84215aa6e,Developmental,8,4.0
d07b9193-caf6-4e8b-9be7-9c70b9bcd304,Occupational,3,4.7
a4034ac1-b2c7-4488-a8a5-5fbd46f433a1,Occupational,4,4.9
dcb3debf-47f2-415a-933a-121fcc7d0df2,Occupational,4,4.9
89caa69d-e741-419d-8eb4-c02507ed9338,Clinical,8,4.8
831204ff-7c48-4136-8a3e-a03ded1dedcd,Forensic,6,4.0
e82ccfd9-b1d5-4ea5-83e6-b71f38f230b1,Educational,4,4.5
ae505fe7-3263-4e85-9bad-b28bcce44ed9,Health,4,4.9
e03e50b9-7730-41f3-a29a-d66ad7c3ba39,Developmental,7,4.2
c3164e09-977c-447f-bb51-9270d5a00a4d,Clinical,7,3.8
